from_code,from_lat,from_lng,from_name,name,number,rescheduled_date,rescheduled_time,time_diff,to_code,to_lat,to_lng,to_name
KOTA,25.1737019,75.8574194,KOTA JN,KOTA - PNBE EXPRESS,13240,08-08-2018,20:40,02:30,PNBE,25.6093239,85.1235252,PATNA JN
DNR,25.6358901,85.0474045,DANAPUR,JAN SADHARAN EXP,13257,08-08-2018,18:30,02:45,ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,JAN SADHARAN EXP,13258,08-08-2018,15:30,02:00,DNR,25.6358901,85.0474045,DANAPUR
RXL,26.9833256,84.8523069,RAXAUL JN,SADBHAWNA EXP,14007,09-08-2018,01:55,02:00,ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL
PRG,25.4689167,81.8677005,PRAYAG,UNCHAHAR EXP,14217,08-08-2018,16:00,01:55,CDG,30.7194022,76.7646552,CHANDIGARH
GKP,26.75845,83.3752175,GORAKHPUR,GKP KKK  EXP,15050,08-08-2018,09:00,01:00,KOAA,22.5677459,88.3476023,KOLKATA
CPR,25.7784105,84.7514507,CHHAPRA,CPR DURG SARNATH EXPRESS,15159,08-08-2018,08:00,00:50,DURG,21.2009417,81.3943241839,DURG
MZS,27.82919,95.2193856,MURKEONGSELEK,LACHIT EXPRESS,15614,08-08-2018,20:20,01:00,KYQ,26.1666801,91.7053530389,KAMAKHYA
CPR,25.7784105,84.7514507,CHHAPRA,CPR-TATA EXP,18182,08-08-2018,13:20,00:45,TATA,22.8015194,86.2029579,TATANAGAR JN
FBD,27.5,79.5,FARRUKHABAD,CPA-CPR EXP,18192,08-08-2018,15:35,02:00,CPR,25.7784105,84.7514507,CHHAPRA
DBG,26.1569653,85.8995119,DARBHANGA JN,SABARMATI EXP,19166,08-08-2018,09:15,04:40,ADI,23.0216238,72.5797068,AHMEDABAD JN
ANVT,28.6118176,77.2888291,ANAND VIHAR TERMINAL,ANVT-BGP GARIB RATH,22406,08-08-2018,19:00,02:05,BGP,25.2494829,86.9828131,BHAGALPUR
CPR,25.7784105,84.7514507,CHHAPRA,CHHAPRA-MATHURA EXP,22531,08-08-2018,10:05,04:35,MTJ,27.4955539,77.6855554,MATHURA JN
AGC,27.1752554,78.0098161,AGRA CANTT,AGC-JHS PASS,51816,08-08-2018,15:45,01:00,JHS,25.44715405,78.566749703,JHANSI JN
LKO,26.8381,80.9346001,LUCKNOW,LKO-BSB PASS,54256,08-08-2018,15:00,03:50,BSB,25.3356491,83.0076292,VARANASI JN
LKO,26.8381,80.9346001,LUCKNOW,LKO-BSB PASSENGER,54334,08-08-2018,15:00,04:00,BSB,25.3356491,83.0076292,VARANASI JN
JU,26.2967719,73.0351433,JODHPUR JN,JU BTI PASENGER,54704,08-08-2018,15:35,01:00,BTI,30.25,75.0,BHATINDA JN
KIR,25.5433817,87.5690417,KATIHAR JN,KIR-DBG PASS,55223,08-08-2018,18:00,05:45,DBG,26.1569653,85.8995119,DARBHANGA JN
BJP,16.8269911,75.7175387,BIJAPUR,BJP-BMO PASS,57129,08-08-2018,18:45,00:15,BMO,17.529823,78.5155062,BOLARUM
KRYP,,,KADIRIDEVARA PALLI,KYND-TPTY PASS,57478,08-08-2018,14:50,01:25,TPTY,13.6316368,79.4231711,TIRUPATI
